country,Code,Year,Electric cars sold,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt),Total energy consumption (EJ),Carbon Intensity (MtCO2 per EJ),Clean electricity share (%)
Spain,ESP,2013,882,Europe,238.2793195,2.056809703,0.154696975,33.89817063,115.8489865,40.46899671,24.18993293,46.751,60.322,0.056999953,29.62799524,0.075212099,285.631,235.181,21.149,24.06671545,0.368,6.621,4.850365366782,49.12605576723546,64.53571216
Spain,ESP,2014,1730,Europe,236.0035556,2.084839195,0.151128018,34.22779213,113.1998843,40.92197309,24.5660087,45.417,60.201,0.02400002,27.23100414,0.072489053,278.75,233.306,23.078,23.5644843,0.305,6.181,4.7394527558724,49.795528673132296,64.48645739
Spain,ESP,2015,2080,Europe,251.6995005,2.142513684,0.155225943,32.70147015,117.4785965,35.71095472,24.75593156,47.863,64.74,0.062000069,28.20301034,0.072450386,280.911,238.545,26.058,22.5694259,0.232,4.368,4.9185938782620005,51.173060173233644,58.280380619999995
Spain,ESP,2016,3500,Europe,242.8458638,2.049766126,0.145359519,33.28918763,118.4749132,39.34243664,24.12162161,49.491,64.77,0.054000019,28.76099176,0.070915173,274.772,239.821,19.822,22.80290568,0.141,3.899,4.9603076658576,48.95782281239076,62.14534232
Spain,ESP,2017,7400,Europe,258.2111175,2.07142524,0.150212846,32.69578316,124.6538434,32.88482044,24.24550122,49.867,65.819,0.027000024,31.12896371,0.072516663,275.726,246.542,24.063,23.07181767,0.12,3.064,5.2190071154712,49.47514187795609,55.95663811
Spain,ESP,2018,11600,Europe,253.4278891,2.039852382,0.14404375,33.17250299,124.2383476,38.7514028,23.60658408,50.516,68.112,0.087000035,30.95700234,0.070614791,274.452,245.769,20.88,23.22227566,0.087,1.8,5.2016111373168,48.721037080585816,61.97367846
Spain,ESP,2019,17400,Europe,237.1269055,1.965245932,0.132165655,33.14006782,120.6601686,37.63363448,23.538746,50.41469778,65.74689542,0.130306089,35.31751037,0.067251459,274.2909761,241.8438621,8.790862721,25.8282673,0.040249164,2.977,5.051799938944801,46.939092673082,63.46190178
Spain,ESP,2020,42000,Europe,191.1271663,1.788191723,0.119693397,33.74636091,106.8829275,43.91544261,25.31021098,41.06094412,56.0058887,0.05224639,31.82116585,0.066935439,264.1226454,227.8493054,3.826858929,29.11508021,0.027538849,2.401,4.47497440857,42.7102255454184,73.03052282
Sweden,SWE,2012,930,Europe,42.02155949,0.839083074,0.09496508,35.5853915,50.08033265,59.09846843,32.38758399,11.048,21.409,,1.178001246,0.113177209,166.561,132.116,3.530678422,4.312534147,0.0,0.472,2.0967633673902,20.041154926463353,63.411002577
Sweden,SWE,2013,1530,Europe,40.56261585,0.823268353,0.090681532,34.59013052,49.27022361,54.0740112,32.31860252,10.701,17.584,,1.077000602,0.110148206,153.166,129.341,3.565697409,6.44855908,0.0,0.624,2.0628457221034804,19.66342679695812,60.522570280000004
